sha256,preview_path,product_count,product_ids,skus,brands
004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,3,"1381,1382,1383","4410-1110,4410-1115,4410-1120",Dasqua | داسکوا
018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,1,3258,AST-F14,ASTPOWER | ای اس تی پاور
02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,1,4522,IDE111M-50,TERMA | ترما
05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,1,3351,AST-COR355P,ASTPOWER | ای اس تی پاور
07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,1,4657,TD230B,TERMA | ترما
094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,1,1487,4911-8115,Dasqua | داسکوا
0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,1,6586,AST-COR205P,ASTPOWER | ای اس تی پاور
0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,1,3355,TU-TCOR255,ASTPOWER | ای اس تی پاور
10b721ab5ee8c5008ec4d6e1b1373a8fc15c746e67ef121cec0e71c9612d514f,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/10b721ab5ee8c5008ec4d6e1b1373a8fc15c746e67ef121cec0e71c9612d514f.png,4,"4561,4562,4563,4564","MD310-25,MD310-50,MD310-75,MD310-100",TERMA | ترما
11346661a1b5986336b162d2cc1ffe21eae715aea35d6beb834fbf1c80ac780d,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/11346661a1b5986336b162d2cc1ffe21eae715aea35d6beb834fbf1c80ac780d.png,13,"4251,4252,4253,4254,4255,4256,4258,4259,4260,4261,4262,4263,4353","SO-13605,SO-13606,SO-13607,SO-13608,SO-13609,SO-13610,SO-13613,SO-13612,SO-13614,SO-13615,SO-13616,SO-13617,SO-13545",SAN OU | سانو
11d6688315ca76a8f10a66f675af38dd685730428098a98eef200d511be44bbe,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/11d6688315ca76a8f10a66f675af38dd685730428098a98eef200d511be44bbe.png,1,3350,AST-COR80,ASTPOWER | ای اس تی پاور
1321ed30b502a80917490db1433cb64b4299e5825496b17ce978759dfe411557,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/1321ed30b502a80917490db1433cb64b4299e5825496b17ce978759dfe411557.png,3,"4669,4670,4671","LD260-6,LD260-9,LD260-24",TERMA | ترما
1352fbc22ca1fc0157ba5c7476e0fef997f31bd71ab8f53c7b41140bf571a110,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/1352fbc22ca1fc0157ba5c7476e0fef997f31bd71ab8f53c7b41140bf571a110.png,6,"4198,4199,4200,4203,4400,4408","SO-336,SO-376,SO-420,SO-494,SO-13514,SO-14087",SAN OU | سانو
13a01cc6a6b877c6c9b7b1fdf32d0f9fc8649503c4b8a5d4cef3df0606d37e03,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/13a01cc6a6b877c6c9b7b1fdf32d0f9fc8649503c4b8a5d4cef3df0606d37e03.jpg,1,4206,SO-551,SAN OU | سانو
13b06b6538f735a6e58a73bab84992f9cc850490bea2be9ae4e8fb8868671198,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/13b06b6538f735a6e58a73bab84992f9cc850490bea2be9ae4e8fb8868671198.png,5,"3363,3412,3414,6534,6535","DR313-3,DR313-2,DR313,CBN-DR313,SDC-DR313",ASTPOWER | ای اس تی پاور
164b3616d84ec4d415f7f2de734832d6bf9b78a73f08c57d88e6262a52b197c5,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/164b3616d84ec4d415f7f2de734832d6bf9b78a73f08c57d88e6262a52b197c5.png,8,"6151,6152,6153,6154,6155,6156,6157,6158","AST-RAP6,AST-RAP8,AST-RAP10,AST-RAP12,AST-RAP14,AST-RAP16,AST-RAP18,AST-RAP20",ASTPOWER | ای اس تی پاور
184d803293768e064212b0d19aafd1e96a3506b5755aef69e7cbfd92fee3e3b8,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/184d803293768e064212b0d19aafd1e96a3506b5755aef69e7cbfd92fee3e3b8.png,1,4665,TD270-25,TERMA | ترما
1867d1ba040bec410422db4e7d850e04335d3317e981efa55c3a7453495e9ac2,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/1867d1ba040bec410422db4e7d850e04335d3317e981efa55c3a7453495e9ac2.png,1,4518,IDA920N,TERMA | ترما
19d7eccd2af67b67d1d3c6e6635faab331fe2e2d664ac44bce180cec15ef9515,/var/tmp/karzar-image-review/img02a02-remainder-all-pkg/previews/19d7eccd2af67b67d1d3c6e6635faab331fe2e2d664ac44bce180cec15ef9515.jpg,2,"5843,5844","AST-TAPCHUCK19,AST-TAPCHUCK31",ASTPOWER | ای اس تی پاور
19f51b5d4488d44691c86ed763cd373a1a8efdc9545b4ef7ccf3ab4f06aaa8c7,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/19f51b5d4488d44691c86ed763cd373a1a8efdc9545b4ef7ccf3ab4f06aaa8c7.png,3,"4672,4673,4674","PD290-100,PD290-200,PD290-300",TERMA | ترما
1af05194fd1d7409707aa2f3938fc0d7302849566e29e7cc0cac4f0891b6e9ca,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/1af05194fd1d7409707aa2f3938fc0d7302849566e29e7cc0cac4f0891b6e9ca.png,1,4601,MA230,TERMA | ترما
1c3cdb32541a69bacf33298fcc07f6c0abddcc03bf602e53840ddaacb4245e71,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/1c3cdb32541a69bacf33298fcc07f6c0abddcc03bf602e53840ddaacb4245e71.jpg,5,"3364,3409,3411,6532,6533","DR230,TU-DR230-2,TU-DR230,SDC-DR230,CBN-DR230",ASTPOWER | ای اس تی پاور
21a899645fc740ebecb4fa5e5d0af179e92e293125d38e3cf342d4457722fc3e,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/21a899645fc740ebecb4fa5e5d0af179e92e293125d38e3cf342d4457722fc3e.png,1,4526,IDA910N-25,TERMA | ترما
23ac6c3287f561b761e7ffe323362ceee0dbb4d68525d9d036fe9f15c577d055,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/23ac6c3287f561b761e7ffe323362ceee0dbb4d68525d9d036fe9f15c577d055.png,1,3352,AST-COR255P,ASTPOWER | ای اس تی پاور
267d41f8936cd21d8b81eaeaa6a1a7b200eab60f0fd31aae227a00fb896500cc,/var/tmp/karzar-image-review/img02a02-remainder-all-pkg/previews/267d41f8936cd21d8b81eaeaa6a1a7b200eab60f0fd31aae227a00fb896500cc.png,2,"5841,5842","AST-T800500,AST-T900600",ASTPOWER | ای اس تی پاور
28236a1fa83bd7a29fd719df057e6e89e21adc89a7adf91c5f05dd9f2e332a1c,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/28236a1fa83bd7a29fd719df057e6e89e21adc89a7adf91c5f05dd9f2e332a1c.jpg,1,4205,SO-546,SAN OU | سانو
28af61865b7b73578b0d48c5ebe569ff47f1dbf7e97a8ffc2c05ecdd72d52cf5,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/28af61865b7b73578b0d48c5ebe569ff47f1dbf7e97a8ffc2c05ecdd72d52cf5.png,1,4513,IDE111N-12,TERMA | ترما
2934457a440393a3c270104829b4e29741d44957ed277dd3d324a76115b4a81b,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2934457a440393a3c270104829b4e29741d44957ed277dd3d324a76115b4a81b.png,1,4303,SO-13569,SAN OU | سانو
29a9af411f0447e3a303be43446b026003c5c482ab8abb27c6c90e3bf8a216ea,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/29a9af411f0447e3a303be43446b026003c5c482ab8abb27c6c90e3bf8a216ea.png,5,"5891,5892,5893,5894,5895","33A-S5,33A-S7,33A-S10,33A-S12,33A-S16",ASTPOWER | ای اس تی پاور
2c8ff37a3516c61c3da630b65fed647f00cb5393f5f5f60a76347a791458e206,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2c8ff37a3516c61c3da630b65fed647f00cb5393f5f5f60a76347a791458e206.png,1,3257,AST-20MG,ASTPOWER | ای اس تی پاور
2c917274d863a02e8abbcef9deddb1a7a3defa3b9ec178716fd4d418384f7765,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2c917274d863a02e8abbcef9deddb1a7a3defa3b9ec178716fd4d418384f7765.jpg,1,3361,TU-D13E12,ASTPOWER | ای اس تی پاور
2d57b678c5544e88162bf43b5fa0890f7d8166bceb34e9aaf9db9debcb692598,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2d57b678c5544e88162bf43b5fa0890f7d8166bceb34e9aaf9db9debcb692598.png,1,3356,TU-TCOR355,ASTPOWER | ای اس تی پاور
2d95ada70f1ead7858bc2e6b6d22241ecd7c4f1b07050a1aa47ef120171c44b0,/var/tmp/karzar-image-review/img02a02-remainder-all-pkg/previews/2d95ada70f1ead7858bc2e6b6d22241ecd7c4f1b07050a1aa47ef120171c44b0.png,2,"4631,4632","MD320H-25,MD320H-50",TERMA | ترما
2ea98a76f244977581361612e736b9646311a5b15191594ba1d38f8839fd0ae3,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2ea98a76f244977581361612e736b9646311a5b15191594ba1d38f8839fd0ae3.png,1,3353,TU-TCOR205,ASTPOWER | ای اس تی پاور
2eb06385141f303bd71391a2357311f5056801aace771f59f0404edd5069f75b,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/2eb06385141f303bd71391a2357311f5056801aace771f59f0404edd5069f75b.png,1,4656,TD230A,TERMA | ترما
320ba3295d7efa8245132072974109eb1942c2033ef3a2f9418c4ee5b0e8ffa9,/var/tmp/karzar-image-review/img02a02-remainder-all-pkg/previews/320ba3295d7efa8245132072974109eb1942c2033ef3a2f9418c4ee5b0e8ffa9.png,2,"4509,4510","CA920-500,CA920-600",TERMA | ترما
322104d241aecaa2fae5f97d7bbb79ea459faa4165bb78494b687cafe54840d6,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/322104d241aecaa2fae5f97d7bbb79ea459faa4165bb78494b687cafe54840d6.png,4,"4443,4444,4445,4446","SO-13574,SO-13575,SO-13576,SO-13577",SAN OU | سانو
33dba09e70bd06849e69a0a80d1eb6b3684ac0f261148fbc79fa70f404ee5e60,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/33dba09e70bd06849e69a0a80d1eb6b3684ac0f261148fbc79fa70f404ee5e60.png,1,4523,IDE111M-100,TERMA | ترما
3425d1cb39ec5528e9d47c0352d37116d1760afb761ce36f8b3bd0b1918a9ed5,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/3425d1cb39ec5528e9d47c0352d37116d1760afb761ce36f8b3bd0b1918a9ed5.png,1,4684,RDE111-3000,TERMA | ترما
3495e565d83bab3b46503b32717789e61fb8193459a88a7af07acc26787138f7,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/3495e565d83bab3b46503b32717789e61fb8193459a88a7af07acc26787138f7.png,1,3429,FB620,ASTPOWER | ای اس تی پاور
357f3f7286e117b82879a05f6dd2ede72fc8dd1116de2a54c80978ba53708ba3,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/357f3f7286e117b82879a05f6dd2ede72fc8dd1116de2a54c80978ba53708ba3.jpg,1,3294,AST-EH614,ASTPOWER | ای اس تی پاور
37e87fcbbd9564d17c4b22f91570814db1bd5f4660eab084f0473a1d213c83e4,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/37e87fcbbd9564d17c4b22f91570814db1bd5f4660eab084f0473a1d213c83e4.png,1,4668,LD290,TERMA | ترما
3b81a1e3948a398313d0f4bd64021163f7e176e72c64375878faaa69951b8f0c,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/3b81a1e3948a398313d0f4bd64021163f7e176e72c64375878faaa69951b8f0c.jpg,1,3297,AST-STW,ASTPOWER | ای اس تی پاور
