product_id,sku,product_slug,product_name,brand_name,image_id,sha256_original,image_url_original,mapped_local_relative_path,preview_path,remediation_method,replacement_source,output_path,sha256_final,width,height,remaining_logo_yellow,remediation_ok,reason,verification_status
1381,4410-1110,4410-1110,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-1110mm,Dasqua | داسکوا,1680,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1381/ccf450829e6da6ce.webp,1381/ccf450829e6da6ce.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.webp,5791b12d7fba5b680a8efc18e7e1a7d09766c4adfc7362555ce4e1a8909377d9,1500,1500,0,True,,clean
1382,4410-1115,4410-1115,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-75mm/2-3,Dasqua | داسکوا,1681,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1382/3dade6652c17e109.webp,1382/3dade6652c17e109.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.webp,5791b12d7fba5b680a8efc18e7e1a7d09766c4adfc7362555ce4e1a8909377d9,1500,1500,0,True,,clean
1383,4410-1120,4410-1120,میکرومی خارج — 0-1120mm,Dasqua | داسکوا,1682,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1383/d37cfd755b6a0ae2.webp,1383/d37cfd755b6a0ae2.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.webp,5791b12d7fba5b680a8efc18e7e1a7d09766c4adfc7362555ce4e1a8909377d9,1500,1500,0,True,,clean
3258,AST-F14,دستگاه-فرز-تیز-کن-کف-ast-f14,دستگاه فرز تیز کن کف AST-F14,ASTPOWER | ای اس تی پاور,1532,018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447,https://api.karzartools.com/static/uploads/products/3258/6defac5715f1fd40.webp,3258/6defac5715f1fd40.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.webp,0ffb70dbed9fe3628b2dae9d6e05727ae2e675af48103eaf16139a12a729cea4,1500,1500,0,True,,clean
4522,IDE111M-50,ساعت-اندیکاتوردیجیتال-کورس-50دقت-0001-ترما-terma-مدل-ide111m-50,ساعت اندیکاتوردیجیتال کورس 50دقت 0.001 ترما (TERMA) مدل IDE111M-50,TERMA | ترما,1330,02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635,https://api.karzartools.com/static/uploads/products/4522/29c7b4f4d976b52b.webp,4522/29c7b4f4d976b52b.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.webp,e25412770670a7cd1100620ab433258a9c0d78254f5761f9ea3805927cabb8b0,1600,1600,0,True,,clean
3351,AST-COR355P,دستگاه-کرگیری-355-پرومکس-کردریل-core-drill,دستگاه کُرگیری 355 پرومکس – (کُردریل – CORE DRILL),ASTPOWER | ای اس تی پاور,1558,05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b,https://api.karzartools.com/static/uploads/products/3351/473355481a4001b9.webp,3351/473355481a4001b9.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.webp,06dc23f09900258c317743da481f0961b26d9456f35a422d60be8432a9b100f0,1500,1500,0,True,,clean
4657,TD230B,ضخامت-سنج-دیجییتال-0-150خارج-سنج-ترما-terma-مدل-td230b,ضخامت سنج دیجییتال 0-150خارج سنج ترما (TERMA) مدل TD230B,TERMA | ترما,1436,07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f,https://api.karzartools.com/static/uploads/products/4657/f9fa8e4d770a053c.webp,4657/f9fa8e4d770a053c.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.webp,d6d8358039e240b9f5d8c365c9d654f827689f2037565a8685c8434bed94a776,1600,1600,0,True,,clean
1487,4911-8115,4911-8115,میکرومی داخل سنج دو فک 3 — 0-75mm,Dasqua | داسکوا,1683,094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178,https://api.karzartools.com/static/uploads/products/1487/2f9035b5b010835f.webp,1487/2f9035b5b010835f.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.webp,ae6c03e678ba9cfa791430b538f48b4778780eba61a7d82051077a04bb8ae305,1500,1500,0,True,,clean
6586,AST-COR205P,مدل-ast-cor205p,مدل AST-COR205P,ASTPOWER | ای اس تی پاور,1671,0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e,https://api.karzartools.com/static/uploads/products/6586/17ff947ff94246b1.webp,6586/17ff947ff94246b1.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.webp,caf685393d68d3de134de035b77f6d63ffd53e5b9f3eb587099f341195a379f8,1500,1500,0,True,,clean
3355,TU-TCOR255,دستگاه-کرگیری-255-توربوکات-کردریل-core-drill,دستگاه کُرگیری 255 توربوکات – (کُردریل – CORE DRILL),ASTPOWER | ای اس تی پاور,1562,0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911,https://api.karzartools.com/static/uploads/products/3355/5b97a95a002daac6.webp,3355/5b97a95a002daac6.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,method_c_bbox_fill+WEBP,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets_webp/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.webp,dd4917bf5aadb64f613e3311c74ae83251c18e9c49670b1ed964c133415d0c3c,1500,1500,0,True,,clean
