brand_id,brand_name,total_products,active,inactive,active_pct,available,unavailable,available_pct,priced,unpriced,zero_price,priced_pct,with_image,without_image,image_pct,product_image_rows,visible,visible_pct,sellable,sellable_pct,with_legacy_specs,without_legacy_specs,with_kb_facts,without_kb_facts,product_type_assigned,product_type_missing,required_kb_complete,required_kb_incomplete,evidence_backed,evidence_missing,with_description,without_description,with_short_description,without_short_description,category_count,duplicate_sku_products,soft_deleted_products,min_price,max_price,median_price,p25_price,p75_price,original_price_present,discounted,products_with_multiple_images,average_images_per_imaged_product,max_images_per_product,median_spec_key_count,top_spec_keys,T0,T1,T2,T3,T4,T5,cohort_active_available_priced_imaged,cohort_active_available_priced_no_image,cohort_active_available_unpriced,cohort_active_unavailable_priced_imaged,cohort_inactive_available_priced_imaged,cohort_inactive_unavailable_priced_imaged,cohort_inactive_unavailable_unpriced_imaged,cohort_inactive_unavailable_priced_no_image,cohort_inactive_unavailable_unpriced_no_image,READY_EXCEPT_ACTIVATION,READY_EXCEPT_IMAGE,READY_EXCEPT_PRICE,READY_EXCEPT_AVAILABILITY,MISSING_MULTIPLE_COMMERCIAL_FIELDS,SELLABLE_NOW,BLOCKED_ONLY_BY_ACTIVATION,BLOCKED_ONLY_BY_AVAILABILITY,BLOCKED_ONLY_BY_PRICE,BLOCKED_ONLY_BY_IMAGE,BLOCKED_BY_PRICE_AND_IMAGE,BLOCKED_BY_PRICE_AND_AVAILABILITY,BLOCKED_BY_IMAGE_AND_AVAILABILITY,BLOCKED_BY_3_OR_MORE_FIELDS,sellable_tech_strong,sellable_tech_weak,blocked_tech_strong,blocked_tech_weak,products_non_leaf_category,source_authority
13,ASTPOWER | ای اس تی پاور,975,143,832,14.7%,752,223,77.1%,819,156,0,84.0%,143,832,14.7%,143,143,14.7%,83,8.5%,975,0,0,975,0,975,0,975,0,975,0,975,0,975,29,0,0,43135.00,662662550.00,7530000.00,2895000.000,24367750.000,0,0,0,1.0,1,10,features:975|dimensions:975|technical_specs:975|optional_accessories:975|markup:802|list_toman:802|price_rial:802|price_list_source:802|markup_tag:542|origin_country:523,0,975,0,0,0,0,83,0,0,53,0,0,0,14,149,0,0,0,53,839,83,0,53,0,0,0,7,0,163,0,83,0,892,0,PARTIAL_SOURCE
3,INSIZE | اینسایز,872,643,229,73.7%,159,713,18.2%,487,385,0,55.8%,643,229,73.7%,643,643,73.7%,159,18.2%,871,1,15,857,15,857,15,857,15,857,869,3,864,8,22,0,0,220000.00,197640000.00,11950000.00,4722500.000,23740000.000,0,0,0,1.0,1,5,features:871|technical_specs:871|dimensions:715|optional_accessories:715|source_attributes:708|authority:156,1,856,0,0,15,0,159,0,0,226,0,0,0,102,127,0,0,0,226,487,159,0,226,0,0,0,258,0,229,10,149,5,708,0,AUTHORITATIVE_SOURCE_AVAILABLE
4,Dasqua | داسکوا,727,270,457,37.1%,488,239,67.1%,727,0,0,100.0%,53,674,7.3%,53,53,7.3%,31,4.3%,655,72,0,727,0,727,0,727,0,727,727,0,349,378,18,0,0,425000.00,422360000.00,20385000.00,7933000.000,46400000.000,0,0,0,1.0,1,4,features:655|dimensions:655|technical_specs:655|optional_accessories:655,72,655,0,0,0,0,31,0,0,22,0,0,0,0,0,0,0,0,22,674,31,0,22,0,0,0,0,217,0,0,31,0,696,0,AUTHORITATIVE_SOURCE_AVAILABLE
8,ZCC.CT | زد سی‌سی,583,175,408,30.0%,175,408,30.0%,258,325,0,44.3%,247,336,42.4%,274,175,30.0%,175,30.0%,583,0,0,583,0,583,0,583,0,583,0,583,0,583,9,0,0,370000.00,67040000.00,2236000.00,1167500.0000,5941000.0000,0,0,23,1.11,3,7,features:583|dimensions:583|technical_specs:583|optional_accessories:583|source_url:484|source_timestamp:309|source_attributes:309|grade:175|model:175|pilot:175,0,583,0,0,0,0,175,0,0,0,0,61,11,22,314,0,0,0,0,408,175,0,0,0,0,0,0,0,347,0,175,0,408,0,PARTIAL_SOURCE
22,TIGER TEC | تایگرتک,517,0,517,0.0%,517,0,100.0%,517,0,0,100.0%,0,517,0.0%,0,0,0.0%,0,0.0%,517,0,0,517,0,517,0,517,0,517,0,517,0,517,6,0,0,280000.00,120000000.00,3500000.00,1500000.000,12500000.000,0,0,0,0,0,9,hrc:517|family:517|features:517|dimensions:517|price_source:517|list_price_rial:517|technical_specs:517|price_list_sources:517|optional_accessories:517,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,517,0,NO_REGISTERED_SOURCE
48,YOWAX | یواکس,353,0,353,0.0%,350,3,99.2%,350,3,0,99.2%,0,353,0.0%,0,0,0.0%,0,0.0%,353,0,0,353,0,353,0,353,0,353,0,353,0,353,6,0,0,366000.00,8980000.00,700000.00,620000.0000,946000.0000,0,0,0,0,0,7,features:353|dimensions:353|insert_code:353|price_source:353|technical_specs:353|price_list_source:353|optional_accessories:353,0,353,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,353,0,0,0,0,0,0,0,0,3,0,0,0,353,0,NO_REGISTERED_SOURCE
33,Chumpower | چام‌پاور,347,0,347,0.0%,315,32,90.8%,315,32,0,90.8%,0,347,0.0%,0,0,0.0%,0,0.0%,347,0,0,347,0,347,0,347,0,347,9,338,9,338,5,0,0,341000.00,64823000.00,9652500.00,3899500.000,20680000.000,0,0,0,0,0,10,features:347|dimensions:347|technical_specs:347|optional_accessories:347|markup:310|list_toman:310|markup_tag:310|price_rial:310|price_list_source:310|origin_country:307,0,347,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,347,0,0,0,0,0,0,0,0,32,0,0,0,347,0,NO_REGISTERED_SOURCE
20,SAN OU | سانو,317,62,255,19.6%,85,232,26.8%,141,176,0,44.5%,86,231,27.1%,86,62,19.6%,22,6.9%,317,0,0,317,0,317,0,317,0,317,10,307,10,307,5,0,0,455000.00,695000000.00,3977000.00,920000.000,13524000.000,0,0,0,1.0,1,7,features:317|dimensions:317|technical_specs:317|optional_accessories:317|price_source:271|distributor_code:271|price_list_source:271,0,317,0,0,0,0,22,0,0,24,0,21,3,11,157,0,0,0,24,271,22,0,24,0,0,0,16,0,171,0,22,0,295,0,PARTIAL_SOURCE
5,TERMA | ترما,312,181,131,58.0%,308,4,98.7%,312,0,0,100.0%,181,131,58.0%,181,181,58.0%,177,56.7%,312,0,0,312,0,312,0,312,0,312,0,312,0,312,19,0,0,619500.00,294000000.00,17947500.00,7875000.0000,36309750.0000,0,0,0,1.0,1,11.0,markup:312|section:312|features:312|rounding:312|dimensions:312|price_source:312|list_price_rial:312|technical_specs:312|list_price_toman:312|price_list_source:312,0,312,0,0,0,0,177,0,0,4,0,0,0,0,0,0,0,0,4,131,177,0,4,0,0,0,0,0,0,0,177,0,135,0,AUTHORITATIVE_SOURCE_AVAILABLE
2,Mitutoyo | میتوتویو,304,111,193,36.5%,174,130,57.2%,190,114,0,62.5%,111,193,36.5%,111,111,36.5%,69,22.7%,304,0,0,304,0,304,0,304,0,304,37,267,37,267,12,0,0,405000.00,541612500.00,44612500.00,22451875.0000,102113750.0000,0,0,0,1.0,1,5.0,features:304|dimensions:304|technical_specs:304|optional_accessories:304|source_attributes:267|leaflet_evidence:37,0,304,0,0,0,0,69,0,0,1,0,0,0,15,73,0,0,0,1,234,69,0,1,0,0,0,41,0,88,0,69,0,235,0,PARTIAL_SOURCE
