product_id,db_sku,candidate_oem_model,family,identity_evidence,image_evidence,legacy_fingerprint,required_fact_equivalence,classification,recommended_action
1795,1120-150,1120-150A,INTERNAL_GROOVE_CALIPER,image_marking≥22mm+SET_buttons; OEM pdf64; exclude B/1501/P,IDENTIFYING,accuracy±0.04 matches A/P; range legacy 0-150 NON_UNIQUE; waterproof=false,IDENTICAL_WITH_PAIR range22-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; prefer locator model=1120-150A
1795,1120-150,1120-150AWL,INTERNAL_GROOVE_CALIPER,image_marking≥22mm+SET_buttons; OEM pdf64; exclude B/1501/P,SUPPORTING_ONLY,accuracy±0.04 matches A/P; range legacy 0-150 NON_UNIQUE; waterproof=false,IDENTICAL_WITH_PAIR range22-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; prefer locator model=1120-150A
1795,1120-150,1120-150B,INTERNAL_GROOVE_CALIPER,EXCLUDED: excluded by ≥22mm and/or SET vs Type B/C and range/acc triad,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1795,1120-150,1120-1501,INTERNAL_GROOVE_CALIPER,EXCLUDED: excluded by ≥22mm and/or SET vs Type B/C and range/acc triad,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1795,1120-150,1120-1501WL,INTERNAL_GROOVE_CALIPER,EXCLUDED: excluded by ≥22mm and/or SET vs Type B/C and range/acc triad,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1795,1120-150,1120-150P,INTERNAL_GROOVE_CALIPER,EXCLUDED: excluded by ≥22mm and/or SET vs Type B/C and range/acc triad,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1796,1120-200,1120-200A,INTERNAL_GROOVE_CALIPER,legacy accuracy±0.04 + buttons include set → Type A class; OEM pdf64,ABSENT,accuracy±0.04; buttons set; range legacy 0-200 NON_UNIQUE,IDENTICAL_WITH_PAIR range25-200 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; locator model=1120-200A
1796,1120-200,1120-200AWL,INTERNAL_GROOVE_CALIPER,legacy accuracy±0.04 + buttons include set → Type A class; OEM pdf64,ABSENT,accuracy±0.04; buttons set; range legacy 0-200 NON_UNIQUE,IDENTICAL_WITH_PAIR range25-200 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; locator model=1120-200A
1796,1120-200,1120-200B,INTERNAL_GROOVE_CALIPER,EXCLUDED by accuracy/buttons vs B/*1,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1796,1120-200,1120-2001,INTERNAL_GROOVE_CALIPER,EXCLUDED by accuracy/buttons vs B/*1,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1796,1120-200,1120-2001WL,INTERNAL_GROOVE_CALIPER,EXCLUDED by accuracy/buttons vs B/*1,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1797,1120-300,1120-300A,INTERNAL_GROOVE_CALIPER,source dims L410 b15 c16 d50 e1.5 unique to Type A geometry; OEM pdf64,ABSENT,accuracy±0.05; dims UNIQUE_MATCH Type A; range legacy 0-300 NON_UNIQUE,IDENTICAL_WITH_PAIR range30-300 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; locator model=1120-300A
1797,1120-300,1120-300AWL,INTERNAL_GROOVE_CALIPER,source dims L410 b15 c16 d50 e1.5 unique to Type A geometry; OEM pdf64,ABSENT,accuracy±0.05; dims UNIQUE_MATCH Type A; range legacy 0-300 NON_UNIQUE,IDENTICAL_WITH_PAIR range30-300 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_WITH_EQUIVALENT_IDENTITY_NOTE; locator model=1120-300A
1797,1120-300,1120-300B,INTERNAL_GROOVE_CALIPER,EXCLUDED by geometry fingerprint,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1797,1120-300,1120-3001,INTERNAL_GROOVE_CALIPER,EXCLUDED by geometry fingerprint,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1797,1120-300,1120-3001WL,INTERNAL_GROOVE_CALIPER,EXCLUDED by geometry fingerprint,ABSENT,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1799,1121-150,1121-150A,INTERNAL_POINT_CALIPER,image +24mm marking matches A min; OEM pdf63; exclude B/1501,IDENTIFYING,accuracy±0.04; buttons set,IDENTICAL_WITH_PAIR range24-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1121-150A
1799,1121-150,1121-150AWL,INTERNAL_POINT_CALIPER,image +24mm marking matches A min; OEM pdf63; exclude B/1501,IDENTIFYING,accuracy±0.04; buttons set,IDENTICAL_WITH_PAIR range24-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1121-150A
1799,1121-150,1121-150B,INTERNAL_POINT_CALIPER,EXCLUDED by +24mm/accuracy,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1799,1121-150,1121-1501,INTERNAL_POINT_CALIPER,EXCLUDED by +24mm/accuracy,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
1799,1121-150,1121-1501WL,INTERNAL_POINT_CALIPER,EXCLUDED by +24mm/accuracy,IDENTIFYING_NEGATIVE,CONTRADICTORY,DIFFERENT_TRIAD,HOLD_MULTIPLE_FACT_SETS_EXCLUDED_VARIANT,DO_NOT_USE
