family,source_file,page,raw_row,raw_sku,normalized_sku,description,raw_price,currency,base_price_toman,confidence,decision,review_reason,duplicate_original_relationship
tool_grinder,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/ابزارتیزکن/کاتالوگ همکاری/همکاری ابزار تیزکن.pdf,inspected,,,,34-page single-model datasheets; no کد کالا table; page 1 model 13MA is catalog-only,,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
tool_grinder,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/ابزارتیزکن/کاتالوگ همکاری/همکاری اسپارک.pdf,inspected,,,,"datasheets SP600/SP1500/SP3000; model present, no کد کالا table, no price",,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
tailstock,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/تایکوپ و صفحه گردان/کاتالوگ همکاری/تایکوپ همکاری.pdf,inspected,,,,datasheets (BS0 etc.) plus taper-size ranges; BT30/SK40 are not unique SKUs,,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
magnetic_drill,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/دریل مگنت و کرگیری/کاتالوگ همکاری/همکاری دریل مگنت.pdf,inspected,,,,"13-page datasheets (DM35, TUMT5, …); no کد کالا table, no price",,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
core_drill,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/دریل مگنت و کرگیری/کاتالوگ همکاری/همکاری کرگیری.pdf,inspected,,,,"datasheets (COR80, TURBOCUT 355, …); no کد کالا table, no price",,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
et_taps,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویز ET/ET همکاری.pdf,inspected,,,,"tap family ranges, not discrete SKUs; no price",,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
cutting_fluid,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/روغن آب صابون/همکاری روغن اب صابون.pdf,inspected,,,,product-name list without SKU or price,,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
automatic_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن اتومات/همکاری قلاویززن اتومات.pdf,1,page 1 کد کالا AST-GAT7,AST-GAT7,AST-GAT7,M2-M7 Morse auto-reverse tapping head,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
automatic_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن اتومات/همکاری قلاویززن اتومات.pdf,1,page 1 کد کالا AST-GAT12,AST-GAT12,AST-GAT12,M3-M12 Morse auto-reverse tapping head,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
automatic_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن اتومات/همکاری قلاویززن اتومات.pdf,1,page 1 کد کالا AST-GAT20,AST-GAT20,AST-GAT20,M8-M20 Morse auto-reverse tapping head,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
