product_id,site_sku,current_name,proposed_name,current_short_description_hash,proposed_short_description,current_description_hash,proposed_description,current_specifications_hash,proposed_specifications,current_meta_title,proposed_meta_title,current_meta_description_hash,proposed_meta_description,official_model,official_product_name,official_source_id,official_source_page,official_fact_count,mapping_class,title_class,completeness,priority_class,expected_updated_at
1771,0110-1125,بادسنج اینسایز (Insize) مدل 1125-0110,بادسنج اینسایز مدل 0110-1125,48fbc96fb78a6737ea73ad87697242fa453699f5587f7093df8c45949bdc5428,بادسنج اینسایز مدل 0110-1125؛ با محدوده اندازه‌گیری 1.1~25.0 m/s.,26988f65407fecbd6c3c8e70d926f00f105fc6dfa45d6e6ac4011c4c949459d3,"بادسنج اینسایز با کد 0110-1125 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Anemometer در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 1.1~25.0 m/s.
ابعاد/مشخصه ابعادی: 213×54×36mm.
وزن: 172g.
ویژگی مستند در کاتالوگ: Measure air velocity and temperature.
ویژگی مستند در کاتالوگ: Min/Max, data hold function.
ویژگی مستند در کاتالوگ: Bluetooth 4.0.
ویژگی مستند در کاتالوگ: Auto power off.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",1a747efd67f2502da50b5306dcfbbf0d285e456709c75096ff16bfc2162bd94f,"{""authority"": ""official_insize"", ""features"": [""Measure air velocity and temperature"", ""Min/Max, data hold function"", ""Bluetooth 4.0"", ""Auto power off""], ""technical_specs"": {""accuracy_MPH"": ""±(3%+0.4)"", ""accuracy_ft/min"": ""±(3%+40)"", ""accuracy_km/h"": ""±(3%+1)"", ""accuracy_m/s"": ""±(3%+0.3)"", ""accuracy_°C"": ""±2"", ""accuracy_°F"": ""±4"", ""auto_power_off"": ""10 minutes"", ""battery__________________1_pc"": ""Tripod                0701-TR175"", ""data_port"": ""bluetooth 4.0"", ""dimension"": ""213×54×36mm"", ""measuring_range"": ""1.1~25.0 m/s"", ""measuring_range_MPH"": ""2.5~56.0 MPH"", ""measuring_range_ft/min"": ""220~4920 ft/min"", ""measuring_range_km/h"": ""4~90 km/h"", ""measuring_range_m/s"": ""1.1~25.0 m/s"", ""measuring_range_°C"": ""0~50 °C"", ""measuring_range_°F"": ""32~122 °F"", ""operation_altitude"": ""max 2000m"", ""operation_environment"": ""0~50°С, 0~80%RH"", ""power_supply"": ""9V battery"", ""resolution_MPH"": ""0.1 MPH"", ""resolution_ft/min"": ""1 ft/min"", ""resolution_km/h"": ""0.1 km/h"", ""resolution_m/s"": ""0.01 m/s"", ""resolution_°C"": ""0.1 °C"", ""resolution_°F"": ""0.1 °F"", ""sampling_time"": ""0.5s"", ""storage_environment"": ""-10~60°С, 0~80%RH"", ""weight"": ""172g""}}",بادسنج اینسایز (Insize) مدل 1125-0110,بادسنج اینسایز 0110-1125,48fbc96fb78a6737ea73ad87697242fa453699f5587f7093df8c45949bdc5428,بادسنج اینسایز مدل 0110-1125 — رنج 1.1~25.0 m/s,0110-1125,بادسنج,insize.catalog.108B,341,33,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,BLOCKS_CONVERSION,2026-09-07 13:59:21.150469+00
1772,1103-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1103,کولیس دیجیتال 15سانت اینسایز مدل 1103-150,9f3b87dfe092be2ef5c0e3cbd94bed6a15f81d439880241ed78f468035f041cf,"کولیس دیجیتال 15سانت اینسایز مدل 1103-150؛ با محدوده اندازه‌گیری 0-150mm/0-6؛ تفکیک‌پذیری 0.01mm/0.0005""؛ دقت ±0.03mm.",00efd6e8df04426e66b831607a482f411df6b677ea7acbc64c784788b68c3ed0,"کولیس دیجیتال 15سانت اینسایز با کد 1103-150 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Digital Calipers (Absolute System) Data در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-150mm/0-6.
تفکیک‌پذیری: 0.01mm/0.0005"".
دقت: 0.01 mm.
انطباق اعلام‌شده: DIN862.
ویژگی مستند در کاتالوگ: Absolute system, low power consumption, long battery life.
ویژگی مستند در کاتالوگ: Resolution: 0.01mm/0.0005"".
ویژگی مستند در کاتالوگ: Buttons: on/off, mm/inch, ORIGIN, ZERO/ABS.
ویژگی مستند در کاتالوگ: Automatic power off, move the digital unit to turn on power.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",01ec6ba0ff2158f7043c13ae7d6e80f1380ffa83548c00ff1519e8b02f94acf5,"{""authority"": ""official_insize"", ""features"": [""Absolute system, low power consumption, long battery life"", ""Resolution: 0.01mm/0.0005\"""", ""Buttons: on/off, mm/inch, ORIGIN, ZERO/ABS"", ""Automatic power off, move the digital unit to turn on power"", ""Battery CR2032"", ""Meet DIN862""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""measuring_range"": ""0-150mm/0-6"", ""resolution"": ""0.01mm/0.0005\"""", ""standard"": ""DIN862""}}",کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1103,کولیس دیجیتال 15سانت اینسایز 1103-150,9f3b87dfe092be2ef5c0e3cbd94bed6a15f81d439880241ed78f468035f041cf,"کولیس دیجیتال 15سانت اینسایز مدل 1103-150 — رنج 0-150mm/0-6 — دقت 0.01 mm — رزولوشن 0.01mm/0.0005""",1103-150,کولیس دیجیتال 15سانت,insize.catalog.108A,28,11,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1773,1103-200,کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1103,کولیس دیجیتال 20سانت اینسایز مدل 1103-200,eb5a53ef7f844ef17d8f37153214fbc2c3ca1e623bb29af4a08429029372948c,"کولیس دیجیتال 20سانت اینسایز مدل 1103-200؛ با محدوده اندازه‌گیری 0-200mm/0-8؛ تفکیک‌پذیری 0.01mm/0.0005""؛ دقت ±0.03mm.",6f404a43839eb5270a6051ac5f71a8fc8ffcac6ded74c4d2d81d9b101110e282,"کولیس دیجیتال 20سانت اینسایز با کد 1103-200 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Digital Calipers (Absolute System) Data در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-200mm/0-8.
تفکیک‌پذیری: 0.01mm/0.0005"".
دقت: 0.01 mm.
انطباق اعلام‌شده: DIN862.
منبع تغذیه/باتری: CR2032.
ویژگی مستند در کاتالوگ: Non waterproof.
ویژگی مستند در کاتالوگ: Resolution: 0.01mm/0.0005"".
ویژگی مستند در کاتالوگ: Buttons: zero, on/off, mm/inch.
ویژگی مستند در کاتالوگ: Automatic power off, move the digital unit to turn on power.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",13c3c26017b41a35861aaa4de09705081c18bb9f0200ced6af3627c5707fca4e,"{""authority"": ""official_insize"", ""features"": [""Non waterproof"", ""Resolution: 0.01mm/0.0005\"""", ""Buttons: zero, on/off, mm/inch"", ""Automatic power off, move the digital unit to turn on power"", ""Battery CR2032"", ""Meet DIN862"", ""Made of stainless steel""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""battery"": ""CR2032"", ""measuring_range"": ""0-200mm/0-8"", ""resolution"": ""0.01mm/0.0005\"""", ""standard"": ""DIN862""}}",کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1103,کولیس دیجیتال 20سانت اینسایز 1103-200,eb5a53ef7f844ef17d8f37153214fbc2c3ca1e623bb29af4a08429029372948c,"کولیس دیجیتال 20سانت اینسایز مدل 1103-200 — رنج 0-200mm/0-8 — دقت 0.01 mm — رزولوشن 0.01mm/0.0005""",1103-200,کولیس دیجیتال 20سانت,insize.catalog.108A,28,13,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1774,1103-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر مدل 300-1103,کولیس دیجیتال 30سانت اینسایز مدل 1103-300,e65cc52f552fa5751455d91cdbd552f4b3777139e27b81881e4a29214f96649b,"کولیس دیجیتال 30سانت اینسایز مدل 1103-300؛ با محدوده اندازه‌گیری 0-300mm/0-12؛ تفکیک‌پذیری 0.01mm/0.0005""؛ دقت ±0.03mm.",60316847952b0c731d5872d12cb1ef1313d72c261e30e89b669e40037232834f,"کولیس دیجیتال 30سانت اینسایز با کد 1103-300 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Digital Calipers (Absolute System) Data در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-300mm/0-12.
تفکیک‌پذیری: 0.01mm/0.0005"".
دقت: 0.01 mm.
انطباق اعلام‌شده: DIN862.
منبع تغذیه/باتری: CR2032.
ویژگی مستند در کاتالوگ: Non waterproof.
ویژگی مستند در کاتالوگ: Resolution: 0.01mm/0.0005"".
ویژگی مستند در کاتالوگ: Buttons: zero, on/off, mm/inch.
ویژگی مستند در کاتالوگ: Automatic power off, move the digital unit to turn on power.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",b1a7c898d4a78fc762c66054ce087f9f1053daa00be67d7022500f6e1ecf390f,"{""authority"": ""official_insize"", ""features"": [""Non waterproof"", ""Resolution: 0.01mm/0.0005\"""", ""Buttons: zero, on/off, mm/inch"", ""Automatic power off, move the digital unit to turn on power"", ""Battery CR2032"", ""Meet DIN862"", ""Made of stainless steel""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""battery"": ""CR2032"", ""measuring_range"": ""0-300mm/0-12"", ""resolution"": ""0.01mm/0.0005\"""", ""standard"": ""DIN862""}}",کولیس دیجیتال اینسایز (Insize) 30 سانتی متر مدل 300-1103,کولیس دیجیتال 30سانت اینسایز 1103-300,e65cc52f552fa5751455d91cdbd552f4b3777139e27b81881e4a29214f96649b,"کولیس دیجیتال 30سانت اینسایز مدل 1103-300 — رنج 0-300mm/0-12 — دقت 0.01 mm — رزولوشن 0.01mm/0.0005""",1103-300,کولیس دیجیتال 30سانت,insize.catalog.108A,28,13,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1777,1106-501,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر مدل 501-1106,کولیس دیجیتال 50سانت اینسایز مدل 1106-501,1b07f65e3883e2f7b98fe214c3c2395f57572256645194323773b1d8bc2c0c50,"کولیس دیجیتال 50سانت اینسایز مدل 1106-501؛ با محدوده اندازه‌گیری 0-500mm/0-20؛ تفکیک‌پذیری 0.01mm/0.0005""؛ دقت ±0.05mm.",4ad82201224732a2f09c82f8e90e26105564c79a98cded85ad2c32db3381ee2b,"کولیس دیجیتال 50سانت اینسایز با کد 1106-501 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Data Digital Calipers در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-500mm/0-20.
تفکیک‌پذیری: 0.01mm/0.0005"".
دقت: 0.01 mm.
منبع تغذیه/باتری: CR2032.
ویژگی مستند در کاتالوگ: OUTPUT          POPULAR.
ویژگی مستند در کاتالوگ: Non waterproof.
ویژگی مستند در کاتالوگ: Resolution: 0.01mm/0.0005"".
ویژگی مستند در کاتالوگ: Battery CR2032.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",ebd7aa48e86414823bfd808e1aa8207602c6665479bd0d147d5c5e0445d43067,"{""authority"": ""official_insize"", ""features"": [""OUTPUT          POPULAR"", ""Non waterproof"", ""Resolution: 0.01mm/0.0005\"""", ""Battery CR2032"", ""Made of stainless steel""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""battery"": ""CR2032"", ""measuring_range"": ""0-500mm/0-20"", ""resolution"": ""0.01mm/0.0005\""""}}",کولیس دیجیتال اینسایز (Insize) 50 سانتی متر مدل 501-1106,کولیس دیجیتال 50سانت اینسایز 1106-501,1b07f65e3883e2f7b98fe214c3c2395f57572256645194323773b1d8bc2c0c50,"کولیس دیجیتال 50سانت اینسایز مدل 1106-501 — رنج 0-500mm/0-20 — دقت 0.01 mm — رزولوشن 0.01mm/0.0005""",1106-501,کولیس دیجیتال 50سانت,insize.catalog.108A,39,10,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1785,1108-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1108,کولیس دیجیتال 15سانت اینسایز مدل 1108-150,9f1814b4ca5ffb1a080b27dcc81d9662ac83f99afb7c0824395318abc029a306,"کولیس دیجیتال 15سانت اینسایز مدل 1108-150؛ تفکیک‌پذیری 0.01mm/0.0005""؛ دقت 0.01 mm.",b7e7ec949877233ca97efa95a155d2e71f134083d2b1d339a6ca2efd4a7e41f2,"کولیس دیجیتال 15سانت اینسایز با کد 1108-150 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Attention: The Working Life Of Wireless Digital Calipers (Zigbee) در کاتالوگ اینسایز معرفی شده است.
تفکیک‌پذیری: 0.01mm/0.0005"".
دقت: 0.01 mm.
انطباق اعلام‌شده: DIN862.
منبع تغذیه/باتری: CR2032.
ویژگی مستند در کاتالوگ: Non waterproof.
ویژگی مستند در کاتالوگ: Resolution: 0.01mm/0.0005"".
ویژگی مستند در کاتالوگ: Buttons: on/off, zero, mm/inch.
ویژگی مستند در کاتالوگ: Automatic power off, move the digital unit to turn on power.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",4beff9e90683396e120af8fa6305f0d108411eeb94e5339d3824d7a6dc4308ad,"{""authority"": ""official_insize"", ""features"": [""Non waterproof"", ""Resolution: 0.01mm/0.0005\"""", ""Buttons: on/off, zero, mm/inch"", ""Automatic power off, move the digital unit to turn on power"", ""Battery CR2032"", ""Meet DIN862"", ""Made of stainless steel""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""battery"": ""CR2032"", ""resolution"": ""0.01mm/0.0005\"""", ""standard"": ""DIN862""}}",کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1108,کولیس دیجیتال 15سانت اینسایز 1108-150,9f1814b4ca5ffb1a080b27dcc81d9662ac83f99afb7c0824395318abc029a306,"کولیس دیجیتال 15سانت اینسایز مدل 1108-150 — دقت 0.01 mm — رزولوشن 0.01mm/0.0005""",1108-150,کولیس دیجیتال 15سانت,insize.catalog.108A,27,11,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1786,1108-200,کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1108,کولیس دیجیتال 20سانت اینسایز مدل 1108-200,8c1950700588e5799ebc5d36ee2180077b5188030f4b1b85c61892f3980bb013,کولیس دیجیتال 20سانت اینسایز مدل 1108-200؛ با محدوده اندازه‌گیری 0-200mm/0-8؛ دقت ±0.03mm.,a0276a95a6eb9c629c56d10630fa4837c3294dd5f421e2daaf55f2ba09a67f5e,"کولیس دیجیتال 20سانت اینسایز با کد 1108-200 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Attention: The Working Life Of Wireless Digital Calipers (Zigbee) در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-200mm/0-8.
دقت: 0.01 mm.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",71c8aa8b7b07227919641720c39feda27e0c0612b2258b0f7d267477fb298a7f,"{""authority"": ""official_insize"", ""features"": [], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""measuring_range"": ""0-200mm/0-8""}}",کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1108,کولیس دیجیتال 20سانت اینسایز 1108-200,8c1950700588e5799ebc5d36ee2180077b5188030f4b1b85c61892f3980bb013,کولیس دیجیتال 20سانت اینسایز مدل 1108-200 — رنج 0-200mm/0-8 — دقت 0.01 mm,1108-200,کولیس دیجیتال 20سانت,insize.catalog.108A,27,3,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1787,1108-300,کولیس دیجیتال اینسایز (insize) 30 سانتی متر مدل 300-1108,کولیس دیجیتال 30سانت اینسایز مدل 1108-300,cf77295070583535db5c11a3f528b3ec56008429f6ec55b6b0a82f2ef7028238,کولیس دیجیتال 30سانت اینسایز مدل 1108-300؛ با محدوده اندازه‌گیری 0-300mm/0-12؛ دقت ±0.03mm.,05d03e1c70bf5068cf99b3cd60ccda3c533332e9b2fc720e41de2a190324a038,"کولیس دیجیتال 30سانت اینسایز با کد 1108-300 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Attention: The Working Life Of Wireless Digital Calipers (Zigbee) در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-300mm/0-12.
دقت: 0.01 mm.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",62f488d27da11f9c457ef8b0977ea69bc21e8f9e3ad298f91b448635ec4b6466,"{""authority"": ""official_insize"", ""features"": [], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""measuring_range"": ""0-300mm/0-12""}}",کولیس دیجیتال اینسایز (insize) 30 سانتی متر مدل 300-1108,کولیس دیجیتال 30سانت اینسایز 1108-300,cf77295070583535db5c11a3f528b3ec56008429f6ec55b6b0a82f2ef7028238,کولیس دیجیتال 30سانت اینسایز مدل 1108-300 — رنج 0-300mm/0-12 — دقت 0.01 mm,1108-300,کولیس دیجیتال 30سانت,insize.catalog.108A,27,3,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1821,1150-500,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر پایه دار مدل 500-1150,کولیس دیجیتال 50 سانتی متر پایه دار اینسایز مدل 1150-500,58591a519c87f394079987a90e4a26bb550cd9e59853e73b4cc252ec3ca1e8a9,Digital Height Gauges Data اینسایز مدل 1150-500؛ با محدوده اندازه‌گیری 0-500mm/0-20؛ دقت ±0.06mm.,70fc3d55f542a0c791bfc3eaf7f7c129e9f46536f0f6881083f56ee0cbe67177,"Digital Height Gauges Data اینسایز با کد 1150-500 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Digital Height Gauges Data در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 0-500mm/0-20.
دقت: ±0.06mm.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",c37bb42eefb688b7ffc9206c7a2e29af1cfbf6018cec35957c8f83fb5b1e9126,"{""authority"": ""official_insize"", ""features"": [], ""technical_specs"": {""accuracy"": ""±0.06mm"", ""measuring_range"": ""0-500mm/0-20""}}",کولیس دیجیتال اینسایز (Insize) 50 سانتی متر پایه دار مدل 500-1150,Digital Height Gauges Data اینسایز 1150-500,58591a519c87f394079987a90e4a26bb550cd9e59853e73b4cc252ec3ca1e8a9,Digital Height Gauges Data اینسایز مدل 1150-500 — رنج 0-500mm/0-20 — دقت ±0.06mm,1150-500,Digital Height Gauges Data,insize.catalog.108A,106,2,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
1831,1176-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر شیارسنج مدل 150-1176,کولیس داخل دیجیتال 15سانت اینسایز مدل 1176-150,a478e64f142e7a87a5634af22c33eacebe2075ca7637d8ae14649dfdeb5d1197,کولیس داخل دیجیتال 15سانت 9 اینسایز مدل 1176-150؛ با محدوده اندازه‌گیری 1176-150؛ دقت ±0.04mm.,8b4e8dfefdfd1f06457fdb298adca366f47f0c27e8ba4bbe4a7221f6bac2457a,"کولیس داخل دیجیتال 15سانت 9 اینسایز با کد 1176-150 برای کاربردهای صنعتی و کارگاهی عرضه می‌شود.
این مدل در خانواده Inside Groove Vernier Caliper در کاتالوگ اینسایز معرفی شده است.
محدوده اندازه‌گیری اعلام‌شده: 9-150mm/0.35-6.
دقت: 0.01 mm.
ویژگی مستند در کاتالوگ: Code               Range         Graduation                 Accuracy.
جزئیات فنی از کاتالوگ و فهرست محصول اینسایز برای همین کد استخراج شده است.",0c95bd23bc428542c0e59c550507428385375d0c60ecfde4358a1f213b2a2926,"{""authority"": ""official_insize"", ""features"": [""Code               Range         Graduation                 Accuracy""], ""technical_specs"": {""accuracy"": ""0.01 mm"", ""measuring_range"": ""9-150mm/0.35-6""}}",کولیس دیجیتال اینسایز (Insize) 15 سانتی متر شیارسنج مدل 150-1176,کولیس داخل دیجیتال 15سانت 9 اینسایز 1176-150,a478e64f142e7a87a5634af22c33eacebe2075ca7637d8ae14649dfdeb5d1197,کولیس داخل دیجیتال 15سانت 9 اینسایز مدل 1176-150 — رنج 9-150mm/0.35-6 — دقت 0.01 mm,1176-150,کولیس داخل دیجیتال 15سانت 9,insize.catalog.108A,57,6,EXACT_SKU_AND_MODEL,SAFE_IDENTITY_CORRECTION,OFFICIAL_REBUILD_READY,QUALITY_IMPROVEMENT,2026-09-07 13:59:21.150469+00
