product_id,site_sku,target_sku,canonical_manufacturer_sku,current_is_available,proposed_is_available,current_base_price,current_is_active,current_image_count,current_deleted_at,target_membership_state,identity_confidence,identity_match_type,authoritative_inventory,authoritative_price_status,media_state,public_fields_state,blocker,reason_for_disable,mutation_scope,price_mutation,active_mutation,snapshot_product_id,snapshot_sku,snapshot_base_price,snapshot_is_available,snapshot_is_active,r1_provenance_kind,r1_rule_id,old_s1_would_disable
3895,0312-TH50,0312-TH50,0312-TH50,true,false,6120000.00,false,0,,target_member,high_identity_needs_completion,exact_target_and_site,موجود,valid,missing_or_not_ready,ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,3895,0312-TH50,6120000.00,true,false,not_resolved_r1,,false
1775,1106-301,1106-301,1106-301,true,false,23560000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1775,1106-301,23560000.00,true,true,not_resolved_r1,,true
1776,1106-302,1106-302,1106-302,true,false,26310000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1776,1106-302,26310000.00,true,true,not_resolved_r1,,true
1778,1106-502,1106-502,1106-502,true,false,35820000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1778,1106-502,35820000.00,true,true,not_resolved_r1,,true
1779,1106-503,1106-503,1106-503,true,false,45970000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1779,1106-503,45970000.00,true,true,not_resolved_r1,,true
1780,1106-505,1106-505,1106-505,true,false,66800000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1780,1106-505,66800000.00,true,true,not_resolved_r1,,true
1781,1106-601,1106-601,1106-601,true,false,37320000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1781,1106-601,37320000.00,true,true,not_resolved_r1,,true
1782,1106-602,1106-602,1106-602,true,false,48320000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1782,1106-602,48320000.00,true,true,not_resolved_r1,,true
1783,1106-603,1106-603,1106-603,true,false,58620000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1783,1106-603,58620000.00,true,true,not_resolved_r1,,true
1784,1106-802,1106-802,1106-802,true,false,56690000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1784,1106-802,56690000.00,true,true,not_resolved_r1,,true
