product_id,brand,sku,current_base_price,proposed_base_price,price_delta,price_source_id,price_source_url,price_source_date,price_source_value,price_rule,unit,identity_match,snapshot_sha256
2111,MITUTOYO,145-185,38830000.00,45160000,6330000.00,mitutoyoiran:74,https://www.mitutoyoiran.com/product/%d9%85%db%8c%da%a9%d8%b1%d9%88%d9%85%d8%aa%d8%b1-%d9%88%d8%b1%d9%86%db%8c%d9%87-%d8%b3%d8%a7%d8%af%d9%87-%db%b3%db%b0-%db%b5-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1%db%8c-%d8%af%d8%a7%d8%ae%d9%84/,2026-09-09T13:20:11Z,45160000,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2112,MITUTOYO,104-136A,87910000.00,102237500,14327500.00,mitutoyoiran:75,https://www.mitutoyoiran.com/product/%d9%85%db%8c%da%a9%d8%b1%d9%88%d9%85%d8%aa%d8%b1-%d9%88%d8%b1%d9%86%db%8c%d9%87-%d8%b3%d8%a7%d8%af%d9%87-%db%b3%db%b0%db%b0-%db%b1%db%b5%db%b0%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1%db%8c-%d8%b3/,2026-09-09T13:20:11Z,102237500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_SKU,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2113,MITUTOYO,340-252,190960000.00,222052500,31092500.00,mitutoyoiran:76,https://www.mitutoyoiran.com/product/%d9%85%db%8c%da%a9%d8%b1%d9%88%d9%85%d8%aa%d8%b1-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84-%db%b3%db%b0%db%b0-%db%b1%db%b5%db%b0%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1%db%8c-%d8%b3%d8%b1%d8%aa/,2026-09-09T13:20:11Z,222052500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2114,MITUTOYO,340-251,147190000.00,171150000,23960000.00,mitutoyoiran:77,https://www.mitutoyoiran.com/product/%d9%85%db%8c%da%a9%d8%b1%d9%88%d9%85%d8%aa%d8%b1-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84%db%b1%db%b5%db%b0-%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1%db%8c-%d8%b3%d8%b1%d8%aa%d8%b9%d9%88/,2026-09-09T13:20:11Z,171150000,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2116,MITUTOYO,500-196,29140000.00,33892500,4752500.00,mitutoyoiran:111,https://www.mitutoyoiran.com/product/%da%a9%d9%88%d9%84%db%8c%d8%b3-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84-%db%b1%db%b5%db%b0-%db%b0%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1-%d9%88-%db%b6-%db%b0-%d8%a7%db%8c%d9%86%da%86/,2026-09-09T13:20:11Z,33892500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2118,MITUTOYO,500-197,35540000.00,41350000,5810000.00,mitutoyoiran:119,https://www.mitutoyoiran.com/product/%da%a9%d9%88%d9%84%db%8c%d8%b3-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84-%db%b2%db%b0%db%b0-%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1-%d9%88-%db%b8-%db%b0-%d8%a7%db%8c%d9%86%da%86/,2026-09-09T13:20:11Z,41350000,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2121,MITUTOYO,129-153,59130000.00,68762500,9632500.00,mitutoyoiran:169,https://www.mitutoyoiran.com/product/%d9%85%db%8c%da%a9%d8%b1%d9%88%d9%85%d8%aa%d8%b1-%d8%b9%d9%85%d9%82-%d8%b3%d9%86%d8%ac-%d9%88%d8%b1%d9%86%db%8c%d9%87-%db%b2%db%b5-%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1/,2026-09-09T13:20:11Z,68762500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2123,MITUTOYO,527-121,22670000.00,26362500,3692500.00,mitutoyoiran:178,https://www.mitutoyoiran.com/product/%da%a9%d9%88%d9%84%db%8c%d8%b3-%d8%b9%d9%85%d9%82-%d8%b3%d9%86%d8%ac-%d9%88%d8%b1%d9%86%db%8c%d9%87-%db%b1%db%b5%db%b0-%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1/,2026-09-09T13:20:11Z,26362500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2124,MITUTOYO,2050A,19010000.00,22112500,3102500.00,mitutoyoiran:195,https://www.mitutoyoiran.com/product/%d8%b3%d8%a7%d8%b9%d8%aa-%d8%a7%d9%86%d8%af%db%8c%da%a9%d8%a7%d8%aa%d9%88%d8%b1-%da%a9%d9%88%d8%b1%d8%b3%db%b2%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1/,2026-09-09T13:20:11Z,22112500,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_SKU_AND_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
2125,MITUTOYO,2052A,25470000.00,29625000,4155000.00,mitutoyoiran:196,https://www.mitutoyoiran.com/product/%d8%b3%d8%a7%d8%b9%d8%aa-%d8%a7%d9%86%d8%af%db%8c%da%a9%d8%a7%d8%aa%d9%88%d8%b1-%da%a9%d9%88%d8%b1%d8%b3%db%b3%db%b0-%d9%85%db%8c%d9%84%db%8c%d9%85%d8%aa%d8%b1/,2026-09-09T13:20:11Z,29625000,KARZAR_PRICE=CURRENT_MITUTOYOIRAN_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_SKU_AND_MODEL,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a
