id,sku,name,status,pdf_code,range,resolution,accuracy,notes
1044,1012-0010,زاویه سنج سه تکه با خط کش 12کش — 0-100mm,unmatched,,,,,sku_not_in_pdf
1045,1012-0030,زاویه سنج سه تکه با خط کش 12کش — 0-30mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1046,1012-2005,زاویه سنج یونیورسال ساعت 2,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1047,1012-3010,/ /1 پرگار بی ر,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1048,1012-3015,/ /1 پرگار بی ر,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1049,1012-3020,/ /1 پرگار بی ر,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1050,1021-2005,زاویه سنج یونیورسال دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1051,1022-1010,زاویه سنج نقاله ای دیجیتال — 0-1010mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1052,1022-1015,زاویه سنج نقاله ای دیجیتال — 0-1015mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1053,1022-4200,خط کش زاویه سنج دیجیتال دو خط,unmatched,,,,,sku_not_in_pdf
1054,1022-4300,خط کش زاویه سنج دیجیتال دو خط,unmatched,,,,,sku_not_in_pdf
1055,1030-2010,ترازوی جیت دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1056,1030-2051,تاکومی (دورسنج) دیجیتال مکانییک — 0-500mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1057,1030-2056,تاکومی (دورسنج) دیجیتال مکانییک 1,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1058,1030-2061,رنیو سنج دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1059,1030-2100,تاکومی (دورسنج) دیجیتال مکانییک 1,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1060,1031-2005,زاویه سنج ذره ر ر,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1061,1031-2010,زاویه سنج ذره ر ر,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1062,1041-0005,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و — 0-50mm",unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
