id,sku,name,is_active,short_description,description,meta_title,meta_description,has_short,has_long_stub,has_long_ok,has_meta_title,has_meta_description,tech_keys,tech_count
1044,1012-0010,زاویه سنج سه تکه با خط کش 12کش — 0-100mm,True,,زاویه سنج سه تکه با خط کش 12کش,,,False,True,False,False,False,بازه اندازه‌گیری,1
1045,1012-0030,زاویه سنج سه تکه با خط کش 12کش — 0-30mm,True,,زاویه سنج سه تکه با خط کش 12کش,,,False,True,False,False,False,بازه اندازه‌گیری,1
1046,1012-2005,زاویه سنج یونیورسال ساعت 2,True,,زاویه سنج یونیورسال ساعت 2,,,False,True,False,False,False,,0
1047,1012-3010,/ /1 پرگار بی ر,True,,/ /1 پرگار بی ر,,,False,True,False,False,False,,0
1048,1012-3015,/ /1 پرگار بی ر,True,,/ /1 پرگار بی ر,,,False,True,False,False,False,,0
1049,1012-3020,/ /1 پرگار بی ر,True,,/ /1 پرگار بی ر,,,False,True,False,False,False,,0
1050,1021-2005,زاویه سنج یونیورسال دیجیتال,True,,زاویه سنج یونیورسال دیجیتال,,,False,True,False,False,False,,0
1051,1022-1010,زاویه سنج نقاله ای دیجیتال — 0-1010mm,True,,زاویه سنج نقاله ای دیجیتال,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1052,1022-1015,زاویه سنج نقاله ای دیجیتال — 0-1015mm,True,,زاویه سنج نقاله ای دیجیتال,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1053,1022-4200,خط کش زاویه سنج دیجیتال دو خط,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,,0
1054,1022-4300,خط کش زاویه سنج دیجیتال دو خط,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,,0
1055,1030-2010,ترازوی جیت دیجیتال,True,,ترازوی جیت دیجیتال,,,False,True,False,False,False,دقت,1
1056,1030-2051,تاکومی (دورسنج) دیجیتال مکانییک — 0-500mm,True,,تاکومی (دورسنج) دیجیتال مکانییک,,,False,True,False,False,False,بازه اندازه‌گیری,1
1057,1030-2056,تاکومی (دورسنج) دیجیتال مکانییک 1,True,,تاکومی (دورسنج) دیجیتال مکانییک 1,,,False,True,False,False,False,,0
1058,1030-2061,رنیو سنج دیجیتال,True,,رنیو سنج دیجیتال,,,False,True,False,False,False,دقت,1
1059,1030-2100,تاکومی (دورسنج) دیجیتال مکانییک 1,True,,تاکومی (دورسنج) دیجیتال مکانییک 1,,,False,True,False,False,False,,0
1060,1031-2005,زاویه سنج ذره ر ر,True,,زاویه سنج ذره ر ر,,,False,True,False,False,False,,0
1061,1031-2010,زاویه سنج ذره ر ر,True,,زاویه سنج ذره ر ر,,,False,True,False,False,False,,0
1062,1041-0005,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و — 0-50mm",True,,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و",,,False,False,True,False,False,بازه اندازه‌گیری,1
1063,1041-0007,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و — 0-70mm",True,,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و",,,False,False,True,False,False,بازه اندازه‌گیری,1
1064,1041-2205,شابلون رنده پیچ بری 60درجه,True,,شابلون رنده پیچ بری 60درجه,,,False,True,False,False,False,,0
1065,1041-2215,شابلون رنده پیچ بری 60درجه,True,,شابلون رنده پیچ بری 60درجه,,,False,True,False,False,False,,0
1066,1051-0005,گپ سنج مخروط (گیج داخل مخروط) — 0-50mm,True,,گپ سنج مخروط (گیج داخل مخروط),,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1067,1051-0008,گپ سنج مخروط (گیج داخل مخروط) — 0-80mm,True,,گپ سنج مخروط (گیج داخل مخروط),,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1068,1051-0302,پرگار معمویل — 0-200mm/0-8,True,,پرگار معمویل,,,False,True,False,False,False,بازه اندازه‌گیری,1
1069,1051-0304,پرگار معمویل — 0-300mm,True,,پرگار معمویل,,,False,True,False,False,False,بازه اندازه‌گیری,1
1070,1051-2010,گپ سنج مخروط (گیج داخل مخروط),True,,گپ سنج مخروط (گیج داخل مخروط),,,False,True,False,False,False,دقت,1
1071,1120-3113,کولیس ورنیه تیپ مونو بالک — 0-70mm/0-3,True,,کولیس ورنیه تیپ مونو بالک,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1072,1122-9001,سختی‌سنج شور داسکوا کد 1122-9001,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,دقت,1
1073,1305-0002,کولیس ورنیه دو فک بلند — 0-500mm,True,,کولیس ورنیه دو فک بلند,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1074,1305-0003,کولیس ورنیه دو فک بلند — 0-600mm,True,,کولیس ورنیه دو فک بلند,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1075,1305-0010,کولیس مونوبالک ورنیه فک بلند با — 0-500mm/0-20,True,,کولیس مونوبالک ورنیه فک بلند با,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1076,1305-0025,36/5- کولیس مونوبالک ورنیه فک بلند با — 0-300mm/0-12,True,,36/5- کولیس مونوبالک ورنیه فک بلند با,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1077,1310-0004,کولیس مونو بالک ورنیه فک بلند — 0-200mm/0-8,True,,کولیس مونو بالک ورنیه فک بلند,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1078,1310-0005,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,True,,کولیس مونو بالک ورنیه فک بلند,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
