brand,brand_id,sku,name,description,category_id,category_name,category_confidence,price_raw,price_currency,base_price_toman,price_is_inquiry,accuracy,size_range,size_label_fa,specifications_json,section_title,source_file,source_row_hint,parse_flags
Dasqua | داسکوا,4,1012-0010,زاویه سنج سه تکه با خط کش 12کش — 0-100mm,زاویه سنج سه تکه با خط کش 12کش,68,زاویه سنج,high,"252,950,000",rial,25295000,false,,0-100mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-100mm""}], ""dimensions"": [], ""features"": {}}",زاویه سنج سه تکه با خط کش ‪ 12کش,لیست قیمت داسکوا 14050212.pdf,line:2129,
Dasqua | داسکوا,4,1012-0030,زاویه سنج سه تکه با خط کش 12کش — 0-30mm,زاویه سنج سه تکه با خط کش 12کش,68,زاویه سنج,high,"205,650,000",rial,20565000,false,,0-30mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-30mm""}], ""dimensions"": [], ""features"": {}}",زاویه سنج سه تکه با خط کش ‪ 12کش,لیست قیمت داسکوا 14050212.pdf,line:2132,
Dasqua | داسکوا,4,1012-2005,زاویه سنج یونیورسال ساعت 2,زاویه سنج یونیورسال ساعت 2,59,ساعت اندیکاتور,medium,"133,700,000",rial,13370000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",زاویه سنج یونیورسال ساعت ‪2,لیست قیمت داسکوا 14050212.pdf,line:2155,
Dasqua | داسکوا,4,1012-2010,زاویه سنج سه تکه با خط کش 12کش,زاویه سنج سه تکه با خط کش 12کش,68,زاویه سنج,high,"119,500,000",rial,11950000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",زاویه سنج سه تکه با خط کش ‪ 12کش,لیست قیمت داسکوا 14050212.pdf,line:2121,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,1012-3010,/ /1 پرگار بی ر,/ /1 پرگار بی ر,72,پرگار صنعتی,high,"90,600,000",rial,9060000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",‪0/1mm/0/01mm/1 پرگار بی ر,لیست قیمت داسکوا 14050212.pdf,line:2109,
Dasqua | داسکوا,4,1012-3015,/ /1 پرگار بی ر,/ /1 پرگار بی ر,72,پرگار صنعتی,high,"113,300,000",rial,11330000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",‪0/1mm/0/01mm/1 پرگار بی ر,لیست قیمت داسکوا 14050212.pdf,line:2111,
Dasqua | داسکوا,4,1012-3020,/ /1 پرگار بی ر,/ /1 پرگار بی ر,72,پرگار صنعتی,high,"166,700,000",rial,16670000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",‪0/1mm/0/01mm/1 پرگار بی ر,لیست قیمت داسکوا 14050212.pdf,line:2113,
Dasqua | داسکوا,4,1021-2005,زاویه سنج یونیورسال دیجیتال,زاویه سنج یونیورسال دیجیتال,68,زاویه سنج,high,"538,800,000",rial,53880000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",زاویه سنج یونیورسال دیجیتال,لیست قیمت داسکوا 14050212.pdf,line:2171,
Dasqua | داسکوا,4,1022-0200,خط کش زاویه سنج دیجیتال دو خط — 0-200mm,خط کش زاویه سنج دیجیتال دو خط,68,زاویه سنج,high,"45,550,000",rial,4555000,false,,0-200mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",خط کش زاویه سنج دیجیتال دو خط,لیست قیمت داسکوا 14050212.pdf,line:2181,size_corrected
Dasqua | داسکوا,4,1022-0300,خط کش زاویه سنج دیجیتال دو خط — 0-300mm,خط کش زاویه سنج دیجیتال دو خط,68,زاویه سنج,high,"51,600,000",rial,5160000,false,,0-300mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-300mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",خط کش زاویه سنج دیجیتال دو خط,لیست قیمت داسکوا 14050212.pdf,line:2184,size_corrected
