id,sku,catalog_code,fields,status,price_fields_written,error
4125,1156-1000,1156-1000,"description,specifications",200,none,
4081,7110-1200,7110-1200,"description,specifications",200,none,
4047,4844-1,4844-1,"description,specifications",200,none,
4026,4621-35,4621-35,"description,meta_description,meta_title,short_description,specifications",200,none,
3952,3203-9A,3203-9A,"description,meta_description,meta_title,short_description,specifications",200,none,
3950,3203-8A,3203-8A,"description,meta_description,meta_title,short_description,specifications",200,none,
3949,3203-7A,3203-7A,"description,meta_description,meta_title,short_description,specifications",200,none,
3947,3203-10A,3203-10A,"description,meta_description,meta_title,short_description,specifications",200,none,
3925,2827-60,2827-60A,"description,meta_description,meta_title,short_description,specifications",200,none,
3924,2825-35,2825-35,"description,meta_description,meta_title,short_description,specifications",200,none,
3923,2825-60,2825-60,"description,meta_description,meta_title,short_description,specifications",200,none,
3905,1205-200S,1205-200S,"description,meta_description,meta_title,short_description,specifications",200,none,
3904,1205-150S,1205-150S,"description,meta_description,meta_title,short_description,specifications",200,none,
3902,1180-6,1180-6,"description,meta_description,meta_title,short_description,specifications",200,none,
3900,1110-300A,1110-300A,"description,meta_description,meta_title,short_description,specifications",200,none,
3899,1110-150A,1110-150A,"description,meta_description,meta_title,short_description,specifications",200,none,
3898,1106-2002,1106-2002,"description,meta_description,meta_title,short_description,specifications",200,none,
3897,1106-1503,1106-1503,"description,meta_description,meta_title,short_description,specifications",200,none,
3896,1106-1005,1106-1005,"description,meta_description,meta_title,short_description,specifications",200,none,
3784,4802-31,4802-31,"description,meta_description,meta_title,short_description,specifications",200,none,
3774,3203-12A,3203-12A,"description,meta_description,meta_title,short_description,specifications",200,none,
3744,1244-30,1244-30,"description,meta_description,meta_title,short_description,specifications",200,none,
3691,7110-1000,7110-1000,"description,meta_description,meta_title,short_description,specifications",200,none,
3660,4621-60,4621-60,"description,meta_description,meta_title,short_description,specifications",200,none,
3658,4621-12,4621-12,"description,meta_description,meta_title,short_description,specifications",200,none,
3648,3594-50,3594-50A,"description,meta_description,meta_title,short_description,specifications",200,none,
3644,3108-75,3108-75A,"description,meta_description,meta_title,short_description,specifications",200,none,
3641,3109-75,3109-75A,"description,meta_description,meta_title,short_description,specifications",200,none,
3636,1140-25,1140-25,"description,meta_description,meta_title,short_description,specifications",200,none,
3634,1214-2000,1214-2000,"description,meta_description,meta_title,short_description,specifications",200,none,
3630,2322-60,2322-60A,"description,meta_description,meta_title,short_description,specifications",200,none,
3629,2322-35,2322-35A,"description,meta_description,meta_title,short_description,specifications",200,none,
3607,7114-3460,7114-3460,"description,meta_description,meta_title,short_description,specifications",200,none,
3606,7114-2200,7114-2200,"description,meta_description,meta_title,short_description,specifications",200,none,
3595,1140-50,1140-50,"description,meta_description,meta_title,short_description,specifications",200,none,
3583,1240-5001,1240-5001,"description,meta_description,meta_title,short_description,specifications",200,none,
3581,1240-3001,1240-3001,"description,meta_description,meta_title,short_description,specifications",200,none,
3580,1240-2001,1240-2001,"description,meta_description,meta_title,short_description,specifications",200,none,
3578,1240-1501,1240-1501,"description,meta_description,meta_title,short_description,specifications",200,none,
3577,7110-2000,7110-2000,"description,meta_description,meta_title,short_description,specifications",200,none,
3576,7110-1500,7110-1500,"description,meta_description,meta_title,short_description,specifications",200,none,
3571,4621-90,4621-90,"description,meta_description,meta_title,short_description,specifications",200,none,
3570,4621-80,4621-80,"description,meta_description,meta_title,short_description,specifications",200,none,
