id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
4125,1156-1000,1156-1000,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 100 سانتی متر پایه دار مدل 1000-1156,"0-1000mm/0-40""",±0.07mm,"0.01mm/0.0005""",DIGITAL HEIGHT GAUGES WITH DRIVING WHEEL,115
4081,7110-1200,7110-1200,very_high,exact_code,خط کش استن استیل اینسایز (Insize) 1.2 متر مدل 1200-7110,"1200mm/48""",±0.80mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
4047,4844-1,4844-1,very_high,exact_code,گیج زاویه پخ اینسایز (Insize) مدل 1-4844,0.5mm,±0.25mm,"0.01mm/0.0005""",CHAMFER GAUGE,280
4026,4621-35,4621-35,very_high,exact_code,فیلر نواری 5 متری 0.35mm اینسایز (Insize) مدل 35-4621,0.35mm,±11µm,,FEELER GAUGE STOCKS,509
3952,3203-9A,3203-9A,very_high,exact_code,میکرومتر اینسایز (Insize) 8–9 اینچ خارج سنج مدل 3203-9A,"8-9""","±0.0002""",metric 0.01mm,OUTSIDE MICROMETERS,157
3950,3203-8A,3203-8A,very_high,exact_code,میکرومتر اینسایز (Insize) 7–8 اینچ خارج سنج مدل 3203-8A,"7-8""","±0.0002""",metric 0.01mm,OUTSIDE MICROMETERS,157
3949,3203-7A,3203-7A,very_high,exact_code,میکرومتر اینسایز (Insize) 6–7 اینچ خارج سنج مدل 3203-7A,"6-7""","±0.0002""",metric 0.01mm,OUTSIDE MICROMETERS,157
3947,3203-10A,3203-10A,very_high,exact_code,میکرومتر اینسایز (Insize) 9–10 اینچ خارج سنج مدل 3203-10A,"9-10""","±0.00025""",metric 0.01mm,OUTSIDE MICROMETERS,157
3925,2827-60,2827-60A,very_high,unique_letter_suffix,گیج داخل سیلندر اینسایز (Insize) 60-35 مدل 60-2827,35-60mm,±0.018mm,"0.002mm/0.0001""",ATTENTION: NOT SUITABLE BUILT-IN WIRELESS DIGITAL BORE GAUGES (WITH DIAL INDICATOR),253
3924,2825-35,2825-35,very_high,exact_code,گیج داخل سیلندر ساعتی اینسایز (Insize) 18-35 میلیمتر مدل 35-2825,18-35mm,±0.007mm,"0.001mm/0.00005""",BUILT-IN WIRELESS DIGITAL PRECISION BORE GAUGES (WITH DIAL INDICATOR),247
3923,2825-60,2825-60,very_high,exact_code,گیج داخل سیلندر ساعتی اینسایز (Insize) 35-60 میلیمتر مدل 60-2825,35-60mm,±0.007mm,"0.001mm/0.00005""",BUILT-IN WIRELESS DIGITAL PRECISION BORE GAUGES (WITH DIAL INDICATOR),247
3905,1205-200S,1205-200S,very_high,exact_code,کولیس استنلس استیل معمولی اینسایز (Insize) 20 سانت مدل 200S-1205,"0-200mm/0-8""",±0.05mm,"0.05mm/1/128""",VERNIER CALIPERS,43
3904,1205-150S,1205-150S,very_high,exact_code,کولیس استنلس استیل معمولی اینسایز (Insize) 15 سانت مدل 150S-1205,"0-150mm/0-6""",±0.05mm,"0.05mm/1/128""",VERNIER CALIPERS,43
3902,1180-6,1180-6,very_high,exact_code,گیج پخ دیجیتال اینسایز (Insize) 0-10 میلیمتر 45 درجه مدل 6-1180,"0-10mm/0-0.39""",±0.06mm,"0.01mm/0.0005""",CHAMFER GAUGES,279
3900,1110-300A,1110-300A,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 30 سانت با فک الماس مدل 1110-300A,"0-300mm/0-12""",±0.03mm,"0.01mm/0.0005""",DIGITAL CALIPERS WITH CARBIDE TIPPED JAWS,40
3899,1110-150A,1110-150A,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 15 سانت با فک الماس مدل 1110-150A,"0-150mm/0-6""",±0.03mm,"0.01mm/0.0005""",DIGITAL CALIPERS WITH CARBIDE TIPPED JAWS,40
3898,1106-2002,1106-2002,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 200 سانتی‌ متری فک بلند مدل 2002-1106,"0-2000mm/0-80""",±0.14mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,47
