id,sku,name,status,shopmill_sku,source_url,range,accuracy,resolution,notes
4156,9646-301,سختی سنج فلزات اینسایز (Insize) مدل 301-9646,matched,9646-301,https://shopmilltools.com/product/sm-53371/insize-portable-leeb-hardness-tester-9646-301/,"50-1599HV, 20-68HRC, 85-650HB, 41-100HRB, 61-85.6HRA, 34.2-97.3HS, 255-2180MPa",,"1HV, 0.1HRA, 0.1HRB, 0.1HRC, 1HB, 0.1HS, 1MPa",via:exact
4154,5023,ست ساعت شیطونکی و پایه اینسایز(insize) مدل 5023,matched,5023,https://shopmilltools.com/product/sm-42795/insize-measuring-tool-set-5023/,0-0.8mm,±0.013mm,0.01 میلی متر / 0.0005 اینچ,via:exact
4152,5022,ست کولیس و میکرومتر اینسایز(insize) مدل 5022,matched,5022,https://shopmilltools.com/product/sm-42790/insize-measuring-tool-set-5022/,,,,via:exact
4150,5021,ست کولیس و میکرومتر اینسایز(insize) مدل 5021,matched,5021,https://shopmilltools.com/product/sm-42784/insize-measuring-tool-set-5021/,,,,via:exact
4148,5064,ست ابزار دقیق جوشکاری 6 پارچه اینسایز(insize) مدل 5064,matched,5064,https://shopmilltools.com/product/sm-42781/insize-measuring-tool-set-5064/,,,,via:exact
4146,5063,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5063,matched,5063,https://shopmilltools.com/product/sm-42776/insize-measuring-tool-set-5063/,,,,via:exact
4145,5062,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5062,matched,5062,https://shopmilltools.com/product/sm-42768/insize-measuring-tool-set-5062/,,,,via:exact
4144,5061,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5061,matched,5061,https://shopmilltools.com/product/sm-42752/insize-measuring-tool-set-5061/,,,,via:exact
4143,5052,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5052,matched,5052,https://shopmilltools.com/product/sm-42699/insize-measuring-tool-set-5052/,,,,via:exact
4142,5051,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5051,matched,5051,https://shopmilltools.com/product/sm-42678/insize-measuring-tool-set-5051/,,,,via:exact
4140,5042,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5042,matched,5042,https://shopmilltools.com/product/sm-42653/insize-measuring-tool-set-5042/,,,,via:exact
4138,5041,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5041,matched,5041,https://shopmilltools.com/product/sm-42621/insize-measuring-tool-set-5041/,,,,via:exact
4137,5031,ست ساعت اندیکاتور دیجیتال و انبر قفلی اینسایز(insize) مدل 5031,matched,5031,https://shopmilltools.com/product/sm-42564/insize-measuring-tool-set-5031/,,±0.02mm,0.01mm,via:exact
4134,5072,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5072,matched,5072,https://shopmilltools.com/product/sm-42540/insize-welding-gage-set-5072/,,,,via:exact
4132,5071,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5071,matched,5071,https://shopmilltools.com/product/sm-42515/insize-welding-gage-set-5071/,,,,via:exact
4131,2304-01,ساعت اینچی دور کوچک اینسایز (Insize) مدل 01-2304,matched,2304-01,https://shopmilltools.com/product/sm-31719/insize-compact-dial-indicator-model-2304-01/,,"+/-0.0001""",,via:exact
4130,7214-50M,کابل انتقال داده ساعت دیجیتال بلوتوثی اینسایز (Insize) مدل 7214-50M,matched,7214-50M,https://shopmilltools.com/product/sm-31349/insize-bluetooth-digital-clock-data-transfer-cable-model-7214-50m/,,,,via:exact
4129,F5-2311,ساعت اندیکاتور اینسایز (Insize) دور کوچک کورس 5 میلی متری مدل F5-2311,matched,F5-2311,https://shopmilltools.com/product/sm-31347/insize-compact-dial-indicators-model-2311-5f/,0-5mm,±14میکرون,0.01mm,via:exact
4127,6372-25,هد میکرومتر اینسایز (Insize) مدل 25-6372,matched,6372-25,https://shopmilltools.com/product/sm-31330/insize-non-rotating-spindle-micrometer-head-model-6372-25/,0-25mm,±4μm,,via:exact
4125,1156-1000,کولیس دیجیتال اینسایز (Insize) 100 سانتی متر پایه دار مدل 1000-1156,matched,1156-1000,https://shopmilltools.com/product/sm-31320/insize-100cm-digital-base-caliper-model-1156-1000/,0-1000mm,±0.07mm,0.01 میلی متر / 0.0005 اینچ,via:exact
4124,ISV-E40,بروسکوپ اینسایز (Insize) مدل ISV-E40,matched,ISV-E40,https://shopmilltools.com/product/sm-26883/insize-videoscope-basic-type-model-isv-e40/,,,1280 × 720 پیکسل,via:exact
4122,ISU-250C,ضخامت سنج اولتراسونیک فلزات اینسایز (Insize) مدل ISU-250C,matched,ISU-250C,https://shopmilltools.com/product/sm-26878/insize-ultrasonic-thickness-gage-model-isu-250c/,0.7 میلی‌متر تا 400 میلی‌متر (0.03 اینچ تا 16 اینچ),±0.04 میلی‌متر برای ضخامت‌های کمتر از 10 میلی‌متر ±(0.04 + H/1000) میلی‌متر برای ضخامت‌های 10 تا 100 میلی‌متر ±H/333 میلی‌متر برای ضخامت‌های بالای 100 میلی‌متر,0.01 میلی‌متر (برای ضخامت‌های کمتر از 100 میلی‌متر) و 0.1 میلی‌متر (برای ضخامت‌های بالای 100 میلی‌متر),via:exact
4121,ISR-CS130-W,بلوک زبری سنج جعبه ای اینسایز (Insize) مدل ISR-CS130-W,matched,ISR-CS130-W,https://shopmilltools.com/product/sm-26871/insize-surface-roughness-specimen-set-model-isr-cs130-w/,,,,via:exact
4119,ISO-1200FN,ضخامت سنج رنگ اینسایز (Insize) 0 – 2000 میکرون همراه با کابل مدل ISO-1200FN,matched,ISO-1200FN,https://shopmilltools.com/product/sm-26865/insize-coating-thickness-gage-basic-type-model-iso-1200fn/,0-2000µ‏m,±2µ‏m+3%L,,via:exact
4118,HDT-L411,سختی سنج مدادی فلزات اینسایز (Insize) مدل HDT-L411,matched,HDT-L411,https://shopmilltools.com/product/sm-26649/insize-pen-type-leeb-hardness-tester-basic-type-code-model-hdt-l411/,,±6HLD,1HLD،1HV،1HB،0.1HRC،0.1HRB،0.1HRA،0.1HS،1SGM,via:exact
4117,DSW-A010,کرنومتر اینسایز (Insize) مدل DSW-A010,matched,DSW-A010,https://shopmilltools.com/product/sm-26643/insize-digital-stopwatch-model-dsw-a010/,,±0.5s,0.01s,via:exact
4116,9563-C40,متر دیجیتال و لیزری اینسایز (Insize) 40 متری بلوتوثی مدل 9563-C40,matched,9563-C40,https://shopmilltools.com/product/sm-26617/insize-wireless-digital-measuring-tapes-laser-distance-meters-model-9563-c40/,5m,±1.5mm,0.001m,via:exact
4115,9315-CF210,آمپرمتر کلمپی اینسایز (Insize) مدل 9315-CF210,matched,9315-CF210,https://shopmilltools.com/product/sm-26591/insize-digital-ac-dc-clamp-meter-model-9315-cf210/,,,,via:exact
4113,9241-ML200,مولتی متر دیجیتال اینسایز (Insize) مدل 9241-ML200,matched,9241-ML200,https://shopmilltools.com/product/sm-26577/insize-pen-type-digital-multimeter-model-9241-ml200/,,,,via:exact
4112,8604-40,ترازو دیجیتال اینسایز (Insize) 40kg مدل 40-8604,matched,8604-40,https://shopmilltools.com/product/sm-26563/insize-portable-crane-scale-model-8604-40/,,±50g,50ل,via:exact
4110,8301-1200,ترازو دیجیتال اینسایز (Insize) 0.2-1200g مدل 1200-8301,matched,8301-1200,https://shopmilltools.com/product/sm-26547/insize-electronic-balances-model-8301-1200/,0.2-1200g,,0.01g,via:exact
4108,8203-CW1T,ترازو جرثقیل الکترونیکی اینسایز (Insize) 10-1000kg مدل 8203-CW1T,matched,8203-CW1T,https://shopmilltools.com/product/sm-26540/insize-electronic-crane-scales-basic-type-model-8203-cw1t/,10-1000kg,,0.5kg/0.2kg,via:exact
4107,8203-CW05T,ترازو جرثقیل الکترونیکی اینسایز (Insize) 4-500kg مدل 8203-CW05T,matched,8203-CW05T,https://shopmilltools.com/product/sm-26533/insize-electronic-crane-scales-basic-type-model-8203-cw05t/,4-500kg,,0.2kg/0.1kg,via:exact
4106,8203-CW03T,ترازو جرثقیل الکترونیکی اینسایز (Insize) 2-300kg مدل 8203-CW03T,matched,8203-CW03T,https://shopmilltools.com/product/sm-26526/insize-electronic-crane-scales-basic-type-model-8203-cw03t/,2-300kg,,0.1kg/0.05kg,via:exact
4104,8101-30,ترازو دیجیتال شمارش دار اینسایز (Insize) 20g تا 30kg مدل 30-8101,matched,8101-30,https://shopmilltools.com/product/sm-26520/insize-counting-scales-model-8101-30/,20g-30kg,,1g,via:exact
